"astro-ph/0111551","Hector DE Vega","H. J. de Vega, J. A. Siebert","Statistical Mechanics of the Self-gravitating gas with two or more kinds
  of Particles","LaTex, 29 pages, 11 .ps figures, expanded version to appear in Phys.
  Rev. E","Phys.Rev. E66 (2002) 016112","10.1103/PhysRevE.66.016112","LPTHE/01-72","astro-ph cond-mat hep-th",,"  We study the statistical mechanics of the self-gravitating gas at thermal
equilibrium with two kinds of particles. We start from the partition function
in the canonical ensemble which we express as a functional integral over the
densities of the two kinds of particles for a large number of particles. The
system is shown to possess an infinite volume limit when (N_1,N_2,V)->infty,
keeping N_1/V^{1/3} and N_2/V^{1/3} fixed. The saddle point approximation
becomes here exact for (N_1,N_2,V)->infty.It provides a nonlinear differential
equation on the particle densities. For the spherically symmetric case, we
compute the densities as functions of two dimensionless physical parameters:
eta_1=G m_1^2 N_1/[V^{1/3} T] and eta_2=G m_2^2 N_2/[V^{1/3} T] (where G is
Newton's constant, m_1 and m_2 the masses of the two kinds of particles and T
the temperature). According to the values of eta_1 and eta_2 the system can be
either in a gaseous phase or in a highly condensed phase.The gaseous phase is
stable for eta_1 and eta_2 between the origin and their collapse values. The
gas is inhomogeneous and the mass M(R) inside a sphere of radius R scales with
R as M(R) propto R^d suggesting a fractal structure. The value of d depends in
general on eta_1 and eta_2 except on the critical line for the canonical ensem-
ble where it takes the universal value d simeq 1.6 for all values of N_1/N_2.
The equation of state is computed.It is found to be locally a perfect gas
equation of state. Thermodynamic functions are computed as functions of eta_1
and eta_2. They exhibit a square root Riemann sheet with the branch points on
the critical canonical line. This treatment is further generalized to the
self-gravitating gas with n-types of particles.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 17:06:36 GMT""},{""version"":""v2"",""created"":""Wed, 26 Jun 2002 15:35:03 GMT""}]","2009-11-07"
"gr-qc/0111106","Salvatore Capozziello","S. Capozziello, S. Carloni, G. Lambiase, C. Stornaiolo, A. Troisi","Curvature and Torsion Quintessence","12 pages, proceedings of COSMO-01",,,,"gr-qc",,"  The issues of quintessence and cosmic acceleration can be discussed in the
framework of higher order curvature and torsion theories of gravity. We can
define effective pressure and energy density directly connected to the
curvature or to the torsion fields and then ask for the conditions to get an
accelerated expansion. Exact accelerated expanding solutions can be achieved
for several fourth order curvature or torsion theories so that we obtain an
alternative scheme to the standard quintessence scalar field, minimally coupled
to gravity, usually adopted. We discuss also conformal transformations in order
to see the links of quintessence between the Jordan and Einstein frames.
Furthermore, we take into account a torsion fluid whose effects become relevant
at large scale. Specifically, we investigate a model where a totally
antisymmetric torsion field is taken into account discussing the conditions to
obtain quintessence. We obtain exact solutions also in this case where dust
dominated Friedmann behavior is recovered as soon as torsion effects are not
relevant.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 17:47:41 GMT""}]","2007-05-23"
"gr-qc/0111107","Aharon Davidson","Aharon Davidson, David Karasik, Yoav Lederer","Cold Dark Matter from Dark Energy","4 pages, 4 eps figures, Revtex",,,,"gr-qc astro-ph",,"  Dark energy/matter unification is first demonstrated within the framework of
a simplified model.
  Geodetic evolution of a cosmological constant dominated bubble Universe, free
of genuine matter, is translated into a specific FRW cosmology whose
effectively induced dark component highly resembles the cold dark matter
ansatz. The realistic extension constitutes a dark soliton which bridges past
(radiation and/or matter dominated) and future (cosmological constant
dominated)
  Einstein regimes; its experimental signature is a moderate redshift dependent
cold dark matter deficiency function.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 21:26:14 GMT""}]","2016-08-31"
"gr-qc/0111108","Stefan Hollands","Stefan Hollands and Robert M. Wald","Existence of Local Covariant Time Ordered Products of Quantum Fields in
  Curved Spacetime","Minor revisions, 2 references added. 43 pages, Latex format, no
  figures","Commun.Math.Phys. 231 (2002) 309-345","10.1007/s00220-002-0719-y",,"gr-qc hep-th math-ph math.MP",,"  We establish the existence of local, covariant time ordered products of local
Wick polynomials for a free scalar field in curved spacetime. Our time ordered
products satisfy all of the hypotheses of our previous uniqueness theorem, so
our construction essentially completes the analysis of the existence,
uniqueness and renormalizability of the perturbative expansion for nonlinear
quantum field theories in curved spacetime. As a byproduct of our analysis, we
derive a scaling expansion of the time ordered products about the total
diagonal that expresses them as a sum of products of polynomials in the
curvature times Lorentz invariant distributions, plus a remainder term of
arbitrary low scaling degree.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 15:42:28 GMT""},{""version"":""v2"",""created"":""Fri, 31 May 2002 19:18:32 GMT""}]","2009-11-07"
"gr-qc/0111109","Serge Winitzki","Serge Winitzki","Null Energy Condition Violations in Eternal Inflation","Talk given at COSMO-2001, Rovaniemi, Finland. 7 pages, 2 figures",,,,"gr-qc",,"  The usual scenario of ``eternal inflation'' involves an approximately de
Sitter spacetime undergoing upward fluctuations of the local expansion rate
$H$. This spacetime requires frequent violations of the Null Energy Condition
(NEC). We investigate the fluctuations of the energy-momentum tensor of the
scalar field in de Sitter space as a possible source of such violations. We
find that fluctuations of the energy-momentum tensor smeared in space and time
are well-defined and may provide the NEC violations. Our results for slow-roll
inflation are consistent with the standard calculations of inflationary density
fluctuations. In the diffusive regime where quantum fluctuations dominate the
slow-roll evolution, the magnitude of smeared energy-momentum tensor
fluctuations is large enough to create frequent NEC violations.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 00:45:24 GMT""}]","2020-07-27"
"gr-qc/0111110","Dag {\O}stvang","Dag {\O}stvang","A Non-Metric Approach to Space, Time and Gravitation","Doctoral thesis, 142(+6) pages, 2 figures, LaTeX; v8: ambiguous
  predictions eliminated; v10: inconsistent mass integral corrected page 139;
  v11: corrections pp. 115-118, v13: must have non-universal gravitational
  coupling; v14: rewritten with fully coupled theory; v15: major revision
  (fully coupled theory abandoned); v16: next last version; v17: final version
  (really)",,,,"gr-qc","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this thesis, a non-standard geometric framework, the ""quasi-metric""
framework (QMF), is used to define relativistic space-time. The QMF consists of
a 4-dimensional space-time manifold equipped with two one-parameter families of
Lorentzian 4-metrics ${\bf g}_t$ and ${\bf {\bar g}}_t$ parametrized by a
(unique) global time function $t$. The global time function represents one
extra degenerate time dimension and it defines a ""distinguished"" foliation of
quasi-metric space-time into spatial hypersurfaces. The metric family ${\bf
{\bar g}}_t$ is found as solutions of field equations, whereas the metric
family ${\bf g}_t$ is found via a local transformation ${\bf {\bar
g}}_t{\rightarrow}{\bf g}_t$ and is used in the equations of motion. The role
of the degenerate dimension is to describe global scale changes between
gravitational and non-gravitational systems. In particular, this yields an
alternative description of the expansion of the Universe. In this thesis, a
quasi-metric theory of gravity is constructed. Like General Relativity, the
field equations have two independent propagating dynamical degrees of freedom.
However, a number of non-standard features makes the field equations unsuitable
for a standard PPN-analysis. This implies that the experimental status of the
theory is not completely clear at this point in time. But the non-metric part
of the theory may be tested rather independently. That is, the theory predicts
that gravitational fields in vacuum and gravitationally bound bodies made of
ideal gas expand like the expansion of the Universe. Several observations
suggest this; e.g., the ""Pioneer effect"", the mean acceleration of the Moon,
the spin-down of the Earth, palaeo-tidal records, etc. Thus quasi-metric
relativity has experimental support where metric theories fail.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 02:42:02 GMT""},{""version"":""v10"",""created"":""Fri, 11 Feb 2005 07:51:41 GMT""},{""version"":""v11"",""created"":""Thu, 16 Jun 2005 23:33:18 GMT""},{""version"":""v12"",""created"":""Tue, 6 Dec 2005 05:11:52 GMT""},{""version"":""v13"",""created"":""Fri, 9 May 2014 16:08:26 GMT""},{""version"":""v14"",""created"":""Sat, 23 Mar 2019 09:47:49 GMT""},{""version"":""v15"",""created"":""Thu, 19 Mar 2020 11:45:11 GMT""},{""version"":""v16"",""created"":""Mon, 28 Dec 2020 23:16:54 GMT""},{""version"":""v17"",""created"":""Tue, 31 Jan 2023 10:39:15 GMT""},{""version"":""v2"",""created"":""Mon, 10 Dec 2001 22:07:47 GMT""},{""version"":""v3"",""created"":""Thu, 31 Jan 2002 20:04:09 GMT""},{""version"":""v4"",""created"":""Thu, 7 Mar 2002 03:06:43 GMT""},{""version"":""v5"",""created"":""Sat, 4 May 2002 17:14:50 GMT""},{""version"":""v6"",""created"":""Wed, 12 Mar 2003 00:10:45 GMT""},{""version"":""v7"",""created"":""Fri, 7 Nov 2003 18:27:42 GMT""},{""version"":""v8"",""created"":""Tue, 30 Mar 2004 02:30:23 GMT""},{""version"":""v9"",""created"":""Wed, 14 Apr 2004 17:13:43 GMT""}]","2023-02-01"
"gr-qc/0111111","Matt Visser","Matt Visser (Washington University in Saint Louis) Carlos Barcelo
  (Washington University in Saint Louis) Stefano Liberati (U of Maryland)","Analogue models of and for gravity","Plain LaTeX2E; 20 page mini-survey; one eps figure. Plenary talk at
  the Australasian Relativity Conference (Perth, July 2001). Proceedings to
  appear in ``General Relativity and Gravitation''","Gen.Rel.Grav. 34 (2002) 1719-1734",,,"gr-qc",,"  Condensed matter systems, such as acoustics in flowing fluids, light in
moving dielectrics, or quasiparticles in a moving superfluid, can be used to
mimic aspects of general relativity. More precisely these systems (and others)
provide experimentally accessible models of curved-space quantum field theory.
As such they mimic kinematic aspects of general relativity, though typically
they do not mimic the *dynamics*. Although these analogue models are thereby
limited in their ability to duplicate all the effects of Einstein gravity they
nevertheless are extremely important -- they provide black hole analogues (some
of which have already been seen experimentally) and lead to tests of basic
principles of curved-space quantum field theory. Currently these tests are
still in the realm of *gedanken-experiments*, but there are plausible candidate
models that should lead to laboratory experiments in the not too distant
future.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 03:06:00 GMT""}]","2007-05-23"
"gr-qc/0111112","Luis Herrera","L. Herrera and D. Pavon","Hyperbolic theories of dissipation: Why and when do we need them?","15 pages Latex, to appear in Physica A","Physica A307 (2002) 121-130","10.1016/S0378-4371(01)00614-8",,"gr-qc astro-ph cond-mat math-ph math.MP",,"  We illustrate and emphasize the relevance of hyperbolic theories of
dissipation in different physical scenarios. Particular attention is paid to
self-gravitating systems where the relaxation time may become large enough as
to require a description of the transient regime. It is argued that even
outside that regime, hyperbolic theories may be needed to provide an accurate
description of dissipative processes.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 14:06:38 GMT""}]","2009-11-07"
"gr-qc/0111113","Jozef Sima","Jozef Sima and Miroslav Sukenik","Formation of Complex Matter Structures and Mutual Relations Between the
  Mass of Elementary Particles","6 pages, LaTeX",,,"SS-01-10","gr-qc",,"  The model of Expansive Nondecelerative Universe leads to a conclusion stating
that at the end of radiation era the Jeans mass was equal to the upper mass
limit of a black hole and, at the same time, the effective gravitational range
of nucleons was identical to their Compton wavelength. At that time nucleons
started to exert gravitational impact on their environment which enabled to
large scale structures become formed. Moreover, it is shown that there is a
deep relationships between the inertial mass of various leptons and bosons and
that such relations can be extended also into the realm of other kinds of
elementary particles.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 11:06:06 GMT""}]","2007-05-23"
"hep-ex/0111094","Gabriele Chiodini","G. Chiodini, J.A. Appel, G. Cardoso, D.C. Christian, M.R. Coluccia, J.
  Hoff, S.W. Kwan, A. Mekkaoui, R. Yarema, S. Zimmermann","Single Event Effects in the Pixel readout chip for BTeV","15 pages, 6 Postscript figures","Nucl.Instrum.Meth.A501:183-188,2001","10.1016/S0168-9002(02)02030-2","FERMILAB-Conf-01/369-E","hep-ex",,"  In future experiments the readout electronics for pixel detectors is required
to be resistant to a very high radiation level. In this paper we report on
irradiation tests performed on several preFPIX2 prototype pixel readout chips
for the BTeV experiment exposed to a 200 MeV proton beam. The prototype chips
have been implemented in commercial 0.25 um CMOS processes following radiation
tolerant design rules. The results show that this ASIC design tolerates a large
total radiation dose, and that radiation induced Single Event Effects occur at
a manageable level.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 16:54:26 GMT""}]","2008-11-26"
"hep-ex/0111095","Pam Morehouse","G. Bonvicini, et al, CLEO Collaboration","Search for CP Violation in \tau -> K\pi\nu_\tau Decays","13 pages postscript, also available through
  http://w4.lns.cornell.edu/public/CLNS, submitted to PRL","Phys.Rev.Lett.88:111803,2002","10.1103/PhysRevLett.88.111803","CLNS01/1766, CLEO 01-22","hep-ex",,"  We search and find no evidence for CP violation in tau decays into the K pi
nu final state. We provide confidence limits on the imaginary part of the
coupling constant Lambda, describing a relative contribution of the CP
violating processes with respect to the Standard Model, to be -0.155 <
Im(Lambda) < 0.047 at 90% C.L.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 20:19:29 GMT""}]","2010-04-08"
"hep-ex/0111096","Diego Casadei","L.Brocco, D.Casadei, F.Cindolo, A.Contin, G.Laurenti, G.Levi,
  A.Montanari, F.Palmonari, L.Patuelli, C.Sbarra, A.Zichichi","The Time of Flight System of the AMS-02 Space Experiment","5 pages, 4 figures. Proc. of 7th Int. Conf. on Adv. Tech. and Part.
  Phys., 15-19 October 2001,Como (Italy)",,"10.1142/9789812776464_0007",,"hep-ex",,"  The Time-of-Flight (TOF) system of the AMS detector gives the fast trigger to
the read out electronics and measures velocity, direction and charge of the
crossing particles. The new version of the detector (called AMS-02) will be
installed on the International Space Station on March 2004. The fringing field
of the AMS-02 superconducting magnet is $1.0\div2.5$ kG where the
photomultiplers (PM) are installed. In order to be able to operate with this
residual field, a new type of PM was chosen and the mechanical design was
constrained by requiring to minimize the angle between the magnetic field
vector and the PM axis. Due to strong field and to the curved light guides, the
time resolution will be $150\div180$ ps, while the new electronics will allow
for a better charge measurement.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 08:27:34 GMT""}]","2017-08-23"
